lakeid,sampledate,depth,chlor,phaeo
CR,9/11/85,0,1.3,0
CR,9/11/85,3,1.2,0.4
CR,9/11/85,5,1.6,0.2
CR,9/11/85,8,1.8,0.1
CR,9/11/85,10,3.1,0.4
CR,9/11/85,12,5.1,0.6
CR,9/11/85,13,20.2,-1.9
CR,9/11/85,15,4.1,1.9
CR,10/2/85,0,1.3,0
CR,10/2/85,3,1.3,0.1
CR,10/2/85,5,1.3,0.1
CR,10/2/85,8,1.2,0.3
CR,10/2/85,8,1.8,1.5
CR,10/2/85,10,1.7,0
CR,10/2/85,12,1.6,0.2
CR,10/2/85,15,11,-1.9
CR,10/2/85,19,1.1,2.4
CR,10/22/85,0,1.6,0.1
CR,10/22/85,3,1.7,0.4
CR,10/22/85,5,1.8,0.1
CR,10/22/85,8,2.1,0.3
CR,10/22/85,10,2.5,0.2
CR,10/22/85,12,2.9,-0.1
CR,10/22/85,12,2.2,0.6
CR,10/22/85,15,4.2,0.3
CR,10/22/85,19,0.9,1.8
CR,11/13/85,0,1.6,0.2
CR,11/13/85,3,1.8,0.1
CR,11/13/85,5,2,0.1
CR,11/13/85,8,1.7,0.2
CR,11/13/85,8,1.8,0.3
CR,11/13/85,10,1.7,0.2
CR,11/13/85,12,2,0.1
CR,11/13/85,15,1.8,0.3
CR,11/13/85,19,1.6,0.2
CR,1/15/86,0,0.3,-0.2
CR,1/15/86,3,0.7,0
CR,1/15/86,5,0.3,0.2
CR,1/15/86,8,0.3,0.1
CR,1/15/86,10,0.1,0.2
CR,1/15/86,10,0.8,-0.3
CR,1/15/86,12,0,0.2
CR,1/15/86,15,0,0.5
CR,1/15/86,19,0.4,5.1
CR,2/24/86,0,0.1,0.1
CR,2/24/86,3,0.3,0.2
CR,2/24/86,5,0.3,0
CR,2/24/86,8,0.1,0.2
CR,2/24/86,10,0.1,0.2
CR,2/24/86,12,0,0.3
CR,2/24/86,15,0.1,0.5
CR,2/24/86,18,0.3,1.7
CR,2/24/86,18,0.2,1.9
CR,4/2/86,0,1.5,0
CR,4/2/86,3,0.3,0.1
CR,4/2/86,5,0.5,0
CR,4/2/86,8,0.3,0.2
CR,4/2/86,10,0.3,0.2
CR,4/2/86,12,0.2,0
CR,4/2/86,15,0.3,0.8
CR,4/2/86,19,0.4,0.3
CR,4/2/86,19,0.6,1.5
CR,4/22/86,0,1.5,0.4
CR,4/22/86,0,1.3,0.3
CR,4/22/86,3,1.9,0.1
CR,4/22/86,5,1.9,0.1
CR,4/22/86,8,2,0.2
CR,4/22/86,10,2,0.2
CR,4/22/86,12,1.9,0.2
CR,4/22/86,15,2,0.4
CR,4/22/86,19,3.6,0.4
CR,5/5/86,0,1,0.2
CR,5/5/86,3,1,0.5
CR,5/5/86,5,1.4,0.1
