lakeid,sampledate,depth,chlor,phaeo
CB,8/23/89,1,11.3,2.3
CB,8/23/89,2,9.9,2.7
CB,9/6/89,0,3.5,1.5
CB,9/6/89,1,8.4,3.3
CB,9/6/89,2,7.9,3.5
CB,9/6/89,2,7.6,3.6
CB,9/19/89,0,11.9,0.8
CB,9/19/89,0,15.6,1.4
CB,9/19/89,1,13.8,2.4
CB,9/19/89,2,7.9,-0.6
CB,10/2/89,0,12.4,1.3
CB,10/2/89,1,11.4,2.5
CB,10/2/89,1,11.4,1.9
CB,10/2/89,2,4.7,3.1
CB,10/18/89,0,5.3,2.8
CB,10/18/89,1,5.2,2.8
CB,10/18/89,2,4.9,2.6
CB,10/18/89,2,4.7,2.8
CB,10/30/89,0,12.5,1.5
CB,10/30/89,1,7.5,1.9
CB,10/30/89,1,8.1,2.5
CB,10/30/89,2,5.1,2.5
CB,11/7/89,0,7.8,4.3
CB,11/7/89,1,7.1,4.2
CB,11/7/89,2,7.4,4.3
CB,11/7/89,2,7.6,4.2
CB,1/18/90,0,1.6,2.4
CB,1/18/90,0,1.1,2.4
CB,1/18/90,1,4.3,5.7
CB,1/18/90,2,3.4,6.1
CB,2/27/90,0,1.9,1.8
CB,2/27/90,0,1.2,2.3
CB,2/27/90,1,5.7,6.3
CB,2/27/90,2,5,12.7
CB,3/28/90,0,3.6,1.2
CB,3/28/90,1,2.9,2.3
CB,3/28/90,2,4.2,18.3
CB,3/28/90,2,4.7,13.9
CB,5/2/90,0,7.4,2.1
CB,5/2/90,1,9.7,2.7
CB,5/2/90,2,25.3,8.4
CB,5/2/90,2,25.3,8
CB,5/2/90,2,30.1,10.8
CB,5/15/90,0,5.9,1.4
CB,5/15/90,1,6.9,2.1
CB,5/15/90,1,5.8,1.6
CB,5/15/90,2,8.3,3.5
CB,5/30/90,0,2.7,0.6
CB,5/30/90,0,2.3,0.7
CB,5/30/90,1,5.5,2
CB,5/30/90,2,12.9,5.2
CB,6/11/90,0,6.3,-3
CB,6/11/90,1,10.3,0.3
CB,6/11/90,1,16.8,-6.1
CB,6/11/90,2,-1.6,12.2
CB,6/25/90,0,1.7,0.6
CB,6/25/90,2,2.2,0.6
CB,7/25/90,0,8.3,-2.5
CB,7/25/90,0,3.8,2
CB,7/25/90,1,3.7,-0.3
CB,7/25/90,2,5.7,2.2
CB,8/6/90,0,9.9,-0.3
CB,8/6/90,1,0.2,6.6
CB,8/6/90,2,7.2,76.3
CB,8/6/90,2,15.9,20.2
CB,8/20/90,1,7.5,5.3
CB,8/20/90,2,0.4,7.7
CB,8/20/90,2,-2.2,8.6
CB,9/4/90,0,1.4,3.8
CB,9/4/90,1,0.9,5.6
CB,9/4/90,2,1.9,6.6
CB,9/4/90,2,2.2,4.9
CB,9/17/90,0,75.6,-85.3
CB,9/17/90,1,22.7,6.2
CB,9/17/90,2,13.1,7.9
CB,9/17/90,2,2,19.2
CB,10/3/90,0,9.9,5.7
CB,10/3/90,1,6.4,7.5
CB,10/3/90,1,10.1,2.6
CB,10/3/90,2,4.9,4
CB,10/15/90,0,13.6,9.9
CB,10/15/90,1,12.9,8.5
CB,10/15/90,2,8.5,5.1
CB,10/15/90,2,6.9,8.5
CB,10/30/90,0,4.5,6.7
CB,10/30/90,1,9.7,4.5
CB,10/30/90,1,7.1,6.5
CB,10/30/90,2,4.5,6
CB,11/8/90,0,4,8
CB,11/8/90,1,4,7.4
CB,11/8/90,2,3.8,7.7
