lakeid,sampledate,depth,chlor,phaeo
TB,3/1/88,0,3.3,1.4
TB,3/1/88,3,0.1,0.8
TB,3/1/88,3,0.1,0.9
TB,3/1/88,5,1.6,1.3
TB,3/1/88,7,2.8,7.3
TB,3/23/88,0,192.3,45.4
TB,3/23/88,2,0.3,1.1
TB,3/23/88,3,0.4,0.9
TB,3/23/88,5,1.7,1.8
TB,3/23/88,6,1.5,9.7
TB,3/23/88,6,0.6,3.4
TB,4/21/88,0,60.1,16.6
TB,4/21/88,0,59.9,13.6
TB,4/21/88,2,18.1,5.6
TB,4/21/88,3,8.1,3
TB,4/21/88,5,4.2,2.6
TB,4/21/88,6,3.2,2
TB,5/10/88,0,5.4,2.2
TB,5/10/88,0,5,2.1
TB,5/10/88,2,14.5,9.4
TB,5/10/88,4,4.6,5.7
TB,5/10/88,6,4.3,7.2
TB,5/24/88,0,3.5,1.4
TB,5/24/88,2,13.5,8.3
TB,5/24/88,2,15.9,8.8
TB,5/24/88,3,4.8,4.6
TB,5/24/88,5,4.9,5.1
TB,5/24/88,6,5.6,5.8
TB,6/6/88,0,6,1
TB,6/6/88,2,27.8,6.4
TB,6/6/88,3,7.6,5.9
TB,6/6/88,3,7.7,6.1
TB,6/6/88,5,13.5,8.1
TB,6/6/88,6,3.9,2.7
TB,6/20/88,0,2.2,0.8
TB,6/20/88,2,51.3,10.9
TB,6/20/88,2,46,10
TB,6/20/88,3,28.3,9.9
TB,6/20/88,5,11.4,7.7
TB,6/20/88,7,12.8,15.6
TB,7/4/88,0,2.7,0.8
TB,7/4/88,2,74.1,13.4
TB,7/4/88,2,98,19.4
TB,7/4/88,3,3.4,1.6
TB,7/4/88,5,10.2,8
TB,7/4/88,6,5.2,5.5
TB,7/20/88,0,1.4,0
TB,7/20/88,2,136,33.2
TB,7/20/88,2,117.3,29.5
TB,7/20/88,3,7.1,11.4
TB,7/20/88,5,5.5,6.3
TB,7/20/88,6,3.9,10.5
TB,8/3/88,0,1.6,0.3
TB,8/3/88,2,199.1,33.3
TB,8/3/88,3,11.6,21.1
TB,8/3/88,5,9.9,6.6
TB,8/3/88,6,5.7,7.3
TB,8/3/88,6,5.4,7.3
TB,8/16/88,0,1.2,0.3
TB,8/16/88,2,23.1,11.5
TB,8/16/88,2,21.8,9.6
TB,8/16/88,3,36.9,44.8
TB,8/16/88,5,24.6,5.7
TB,8/16/88,6,12.4,7.5
TB,8/31/88,0,1.4,0.7
TB,8/31/88,2,6.8,4.2
TB,8/31/88,3,33.7,58
TB,8/31/88,3,35.7,68.2
TB,8/31/88,5,6.1,14.3
TB,8/31/88,6,35.7,18.2
TB,9/15/88,0,6.6,1.9
TB,9/15/88,2,7.8,2.2
TB,9/15/88,2,8.5,1.7
TB,9/15/88,3,47,65.9
TB,9/15/88,5,7.4,13.1
TB,9/15/88,6,11.9,10.1
TB,9/28/88,0,12.9,2.8
TB,9/28/88,2,15.5,5.6
TB,9/28/88,3,53.1,55.8
TB,9/28/88,5,5.5,15.2
TB,9/28/88,6,8.7,11.5
TB,9/28/88,6,7.1,10.1
TB,10/11/88,0,7.2,5.5
TB,10/11/88,2,5.3,5.4
TB,10/11/88,3,5.5,5.9
TB,10/11/88,3,5.3,5.4
TB,10/11/88,5,5.9,19
TB,10/11/88,6,6,11.9
TB,10/25/88,0,8.3,3.8
TB,10/25/88,2,8.9,5.1
TB,10/25/88,3,6.9,4.7
TB,10/25/88,5,6.8,5
TB,10/25/88,6,5.4,6.2
TB,10/25/88,6,6.1,8.1
TB,11/3/88,0,15.6,3.8
